BOX OFFICE COLLECTION (in USD),"MPRATING (MPAA Rating 1=G, 2=PG, 3=PG13, 4=R)",BUDGET (in USD million),STARPOWR (Index of actor used to calculate starpower),ADDICT (number of trailer views at traileraddict.com),CMNGSOON (message board comments at comingoutsoon.com),FANDANGO (number of fandango votes),CNTWAIT3 (% of votes Fandango votes that can't wait to see the movie) 
19167085,4,28,19.83,7860.5,10,144,0.49
63106589,2,150,32.69,5737,59,468,0.79
5401605,4,37.4,15.69,850,24,198,0.36
67528882,3,200,23.62,15326,93,1778,0.76
26223128,2,150,19.02,4574.25,30,1109,0.53
69637740,3,37,15.34,33324,533,1684,0.77
14800723,3,130,21.47,3890.2,20,253,0.49
31069826,3,80,32.87,2339.8,6,440,0.63
12063452,3,40,6.53,3678,75,456,0.59
4271451,4,35,7.03,3585.5,419,669,0.62
3445559,4,12,24.82,1491.5,13,35,0.23
511920,2,40,18.12,568,5,213,0.18
30480153,3,80,27.44,13276,162,747,0.68
3531664,3,37.4,18.01,568,8,438,0.33
14851136,3,55,23.61,8237.5,47,672,0.7
10103675,1,60,30.71,1874,35,423,0.58
18262471,3,70,24.25,3111,21,584,0.66
36357586,2,37.4,18.99,1421.666667,47,264,0.53
27450296,2,80,27.8,3719,29,422,0.53
26853816,3,150,29.52,9257.666667,46,394,0.62
21027007,3,95,27.63,2614,60,477,0.45
6463278,3,69.4,25.89,5031,80,1303,0.48
5339742,3,20,23.09,2149,8,749,0.25
29484388,4,33,9.33,4249.6,50,37,0.38
21058173,2,30,22.75,801.8,20,69,0.58
19810585,3,16,17.77,20833.8,34,150,0.37
5314278,3,5,4.09,801.8,4,229,0.15
8911827,4,32,19.09,1818.666667,13,879,0.5
17012212,2,35,17.15,1033.166667,8,415,0.36
21241456,4,15,5.15,3119.5,40,557,0.35
20497596,4,20,10.03,3577,51,211,0.41
31832636,2,26,10.25,9266.833333,24,369,0.54
4299805,3,47.5,19.18,1005.833333,2,308,0.23
20828511,4,35,13.54,5451.142857,278,1003,0.68
7601379,2,60,29.86,1228.142857,74,590,0.58
5185146,4,35,24.36,3383,33,597,0.4
24717037,3,38,14.93,2173,51,299,0.48
10325824,3,16.7,10.9,1728.375,30,611,0.41
6741530,2,37.4,16.43,1650.875,18,199,0.34
27785487,3,37.4,36.76,2055.444444,23,858,0.54
16849640,2,35,13.01,8086.444444,33,1465,0.33
10079109,3,38,20.6,4051.666667,70,260,0.55
11588150,2,37.4,27.75,1204.222222,70,685,0.45
15066360,2,37.4,21.98,1651.3,44,412,0.44
9331739,4,50,14.58,1850.3,6,505,0.27
40570365,4,19,1.87,9453.7,429,1107,0.52
5483778,3,20,10.95,1607.454546,13,236,0.26
41030947,3,37.4,14.58,1201.727273,41,295,0.34
12510374,1,37.4,0,1118.916667,56,505,0.29
4721110,3,50,12.68,9502.083333,264,332,0.41
55214334,4,150,20.94,45865.69231,236,1279,0.7
14118685,4,16.7,6.72,5851.071429,18,100,0.44
2409156,4,37.4,0,6919.214286,19,205,0.3
24402214,2,69.4,16.49,4169.857143,52,603,0.58
13965110,3,60,28.63,2096,12,308,0.36
17810270,4,37.4,21.87,13360,29,484,0.42
24604751,3,50,11.99,3019,38,358,0.67
59321095,2,175,34.86,9085.5,68,647,0.7
5329240,3,22,4.25,3186,94,39,0.62
23004765,3,16.7,5.96,17584,58,122,0.53
70950500,3,85,16.62,10609.66667,594,849,0.71
5722039,4,10,16.09,7760.666667,22,288,0.47
